en,fr,de,es,it,kana,ko
Health Wings,Ailes Santé,Heilfedern,Plumas Vigor,Piumsalute,たいりょくのハネ,체력날개
Muscle Wings,Ailes Force,Kraftfedern,Plumas Músculo,Piumpotenza,きんりょくのハネ,근력날개
Resist Wings,Ailes Armure,Abwehrfedern,Plumas Aguante,Piumtutela,ていこうのハネ,저항력날개
Genius Wings,Ailes Esprit,Geniefedern,Plumas Intelecto,Piumingegno,ちりょくのハネ,지력날개
Clever Wings,Ailes Mental,Espritfedern,Plumas Mente,Piumintuito,せいしんのハネ,정신력날개
Swift Wings,Ailes Sprint,Flinkfedern,Plumas Ímpetu,Piumreazione,しゅんぱつのハネ,순발력날개
Pretty Wings,Jolies Ailes,Prachtfedern,Plumas Bellas,Piumebelle,きれいなハネ,고운날개
Cover Fossils,Fossiles Plaques,Schildfossilien,Fósiles Tapa,Fossiltappo,ふたのカセキ,덮개화석
Plume Fossils,Fossiles Plumes,Federfossilien,Fósiles Pluma,Fossilpiuma,はねのカセキ,날개화석
Liberty Passes,Passes Liberté,Gartenpässe,Tarjetas Libertad,Liberticket,リバティチケット,리버티티켓
Pass Orbs,Offrisphères,Transferorbs,Regalosferas,Passabilie,デルダマ,딜구슬
Dream Balls,Rêve Balls,Traumbälle,Ensueño Balls,Dream Ball,ドリームボール,드림볼
Poké Toys,Poké Plumets,Pokéwedel,Pokéseñuelos,Pokégingilli,ポケじゃらし,포켓풀
Prop Cases,Boîtes Parure,Deko-Boxen,Neceseres,Portagadget,グッズケース,굿즈케이스
Dragon Skulls,Crânes Dragons,Drakoschädel,Cráneos Dragón,Teschi,ドラゴンのホネ,드래곤의뼈
Balm Mushrooms,Champis Suaves,Duftpilze,Setas Aroma,Profumfunghi,かおるキノコ,향기버섯
Big Nuggets,Maxi Pépites,Riesennuggets,Maxipepitas,Granpepite,でかいきんのたま,큰금구슬
Pearl Strings,Perles Triples,Triperlen,Sartas Perlas,Trittiperle,おだんごしんじゅ,경단진주
Comet Shards,Morceaux Comète,Kometstücke,Fragmentos Cometa,Pezzi Cometa,すいせいのかけら,혜성조각
Relic Coppers,Vieux Sous,Alte Heller,Reales Cobre,Soldantichi,こだいのどうか,고대의동화
Relic Silvers,Vieux Écus,Alte Taler,Reales Plata,Ducatantichi,こだいのぎんか,고대의은화
Relic Golds,Vieux Ducats,Alte Dukaten,Reales Oro,Doblonantichi,こだいのきんか,고대의금화
Relic Vases,Vieux Vases,Alte Vasen,Ánforas,Vasantichi,こだいのツボ,고대의항아리
Relic Bands,Vieux Bijoux,Alte Reife,Brazales,Bracciantichi,こだいのうでわ,고대의팔찌
Relic Statues,Vieux Santons,Alte Statuen,Efigies Antiguas,Statuantiche,こだいのせきぞう,고대의석상
Relic Crowns,Vieux Tortils,Alte Kronen,Coronas Antiguas,Coronantiche,こだいのおうかん,고대의왕관
Casteliacones,Glaces Volute,Stratos-Eis,Porcehelados,Conistropoli,ヒウンアイス,구름아이스
Dire Hit 2s,Muscles 2,Angriffplus2,Directo 2,Supercolpi 2,クリティカット２,크리티컬커터2
X Speed 2s,Vitesses 2,X-Tempo2,Velocidad X 2,Velocità X-2,スピーダー２,스피드업2
X Sp. Atk 2s,Atq. Spé. 2,X-Spezial2,Especial X 2,Att. Sp. X-2,ＳＰアップ２,스페셜업2
X Sp. Def 2s,Déf. Spé. 2,X-Sp.-Vert.2,Defensa Especial X 2,Dif. Spec. X-2,ＳＰガード２,스페셜가드2
X Defense 2s,Défenses 2,X-Abwehr2,Defensa X 2,Difese X-2,ディフェンダー２,디펜드업2
X Attack 2s,Attaques 2,X-Angriff2,Ataque X 2,Attacchi X-2,プラスパワー２,플러스파워2
X Accuracy 2s,Précisions 2,X-Treffer2,Precisión X 2,Precisioni X-2,ヨクアタール２,잘-맞히기2
X Speed 3s,Vitesses 3,X-Tempo3,Velocidad X 3,Velocità X-3,スピーダー３,스피드업3
X Sp. Atk 3s,Atq. Spé. 3,X-Spezial3,Especial X 3,Att. Sp. X-3,ＳＰアップ３,스페셜업3
X Sp. Def 3s,Déf. Spé. 3,X-Sp.-Vert.3,Defensa Especial X 3,Dif. Spec. X-3,ＳＰガード３,스페셜가드3
X Defense 3s,Défenses 3,X-Abwehr3,Defensa X 3,Difese X-3,ディフェンダー３,디펜드업3
X Attack 3s,Attaques 3,X-Angriff3,Ataque X 3,Attacchi X-3,プラスパワー３,플러스파워3
X Accuracy 3s,Précisions 3,X-Treffer3,Precisión X 3,Precisioni X-3,ヨクアタール３,잘-맞히기3
X Speed 6s,Vitesses 6,X-Tempo6,Velocidad X 6,Velocità X-6,スピーダー６,스피드업6
X Sp. Atk 6s,Atq. Spé. 6,X-Spezial6,Especial X 6,Att. Sp. X-6,ＳＰアップ６,스페셜업6
X Sp. Def 6s,Déf. Spé. 6,X-Sp.-Vert.6,Defensa Especial X 6,Dif. Spec. X-6,ＳＰガード６,스페셜가드6
X Defense 6s,Défenses 6,X-Abwehr6,Defensa X 6,Difese X-6,ディフェンダー６,디펜드업6
X Attack 6s,Attaques 6,X-Angriff6,Ataque X 6,Attacchi X-6,プラスパワー６,플러스파워6
X Accuracy 6s,Précisions 6,X-Treffer6,Precisión X 6,Precisioni X-6,ヨクアタール６,잘-맞히기6
Ability Urges,Appels Talent,Fähigk.-Appelle,Habilitadores,Chiamabilità,スキルコール,스킬콜
Item Drops,Jette Objets,Itemabwürfe,Tiraobjetos,Lascioggetto,アイテムドロップ,아이템드롭
Item Urges,Appel Objets,Itemappelle,Activaobjetos,Chiamoggetto,アイテムコール,아이템콜
Reset Urges,Réamorçages,Umkehrappelle,Quitaestados,Ripristini,フラットコール,플랫콜
Dire Hit 3s,Muscles 3,Angriffplus3,Directo 3,Supercolpi 3,クリティカット３,크리티컬커터3
Light Stones,Galets Blancs,Lichtsteine,Orbes Claros,Chiaroliti,ライトストーン,라이트스톤
Dark Stones,Galets Noirs,Dunkelsteine,Orbes Oscuros,Scuroliti,ダークストーン,다크스톤
TM93s,CT93,TM93,MT93,MT93,わざマシン９３,기술머신93
TM94s,CT94,TM94,MT94,MT94,わざマシン９４,기술머신94
TM95s,CT95,TM95,MT95,MT95,わざマシン９５,기술머신95
Xtransceivers,Vokits,Viso-Caster,Videomisores,Interpoké,ライブキャスター,라이브캐스터
???,???,???,(?),???,ゴッドストーン,???
Gram 1s,Courriers 1,Briefpost 1,Envíos 1,Missive 1,はいたつぶつ１,배달물1
Gram 2s,Courriers 2,Briefpost 2,Envíos 2,Missive 2,はいたつぶつ２,배달물2
Gram 3s,Courriers 3,Briefpost 3,Envíos 3,Missive 3,はいたつぶつ３,배달물3
Xtransceivers,Vokits,Viso-Caster,Videomisores,Interpoké,ライブキャスター,라이브캐스터
Medal Boxes,Boîtes Médailles,Medaillenboxen,Cajas de Insignias,Box Premi,メダルボックス,메달박스
DNA Splicers,Pointeaux ADN,DNS-Keile,Puntas ADN,Cunei DNA,いでんしのくさび,유전자쐐기
DNA Splicers,Pointeaux ADN,DNS-Keile,Puntas ADN,Cunei DNA,いでんしのくさび,유전자쐐기
Permits,Permis,Genehmigungen,Pases,Permessi,きょかしょう,허가증
Oval Charms,Charmes Ovales,Ovalpins,Amuletos Ovales,Ovamuleti,まるいおまもり,둥근부적
Shiny Charms,Charmes Chroma,Schillerpins,Amuletos Iris,Cromamuleti,ひかるおまもり,빛나는부적
Plasma Cards,Cartes Plasma,Plasmakarten,Tarjetas Plasma,Carte Plasma,プラズマカード,플라스마카드
Grubby Hankies,Mouchoirs Sales,Schnäuztücher,Pañuelos Sucios,Pezze Sporche,よごれたハンカチ,더러운손수건
Colress Machines,Nikodules,Achromaten,Acromáquinas,Acrocongegni,アクロママシーン,아크로마머신
Dropped Items,Objets Trouvés,Fundsachen,Objetos Perdidos,Oggetti persi,わすれもの,잊은물건
Dropped Items,Objets Trouvés,Fundsachen,Objetos Perdidos,Oggetti persi,わすれもの,잊은물건
Reveal Glasses,Miroirs Sacrés,Wahrspiegel,Espejos Veraces,Verispecchi,うつしかがみ,비추는거울
Weakness Policies,Vulné-Assurances,Schwächenschutze,Seguros Debilidad,Vulneropolizze,じゃくてんほけん,약점보험
Assault Vests,Vestes de Combat,Offensivwesten,Chalecos Asalto,Corpetti assalto,とつげきチョッキ,돌격조끼
Holo Casters,Holokits,Holo-Logs,Holomisores,Holovox,ホロキャスター,홀로캐스터
Prof’s Letters,Lettres du Prof,Briefe vom Prof,Cartas Profesor,Lettere del Prof,はかせのてがみ,박사의편지
Roller Skates,Rollers,Rollerskates,Patines,Pattini,ローラースケート,롤러스케이트
Pixie Plates,Plaques Pixie,Feentafeln,Tablas Duende,Lastrespiritello,せいれいプレート,정령플레이트
Ability Capsules,Pilules Talent,Fähigk.-Kapseln,Cápsulas Habilidad,Capsule abilità,とくせいカプセル,특성캡슐
Whipped Dreams,Chantibonbons,Sahnehäubchen,Dulces de Nata,Dolcispume,ホイップポップ,휘핑팝
Sachets,Sachets Senteur,Duftbeutel,Saquitos Fragantes,Bustine aromi,においぶくろ,향기주머니
Luminous Moss,Lichens Lumineux,Leuchtmoose,Musgos Brillantes,Muschiluce,ひかりごけ,빛이끼
Snowballs,Boules de Neige,Schneebälle,Bolas de Nieve,Palle di neve,ゆきだま,눈덩이
Safety Goggles,Lunettes Filtre,Schutzbrillen,Gafas Protectoras,Visierantisabbia,ぼうじんゴーグル,방진고글
Poké Flutes,Pokéflûtes,Pokéflöten,Poké Flautas,Poké Flauti,ポケモンのふえ,포켓몬피리
Rich Mulch,Fertibondances,Sprießmulche,Abonos Fértiles,Fertilflorido,たわわこやし,주렁주렁비료
Surprise Mulch,Fertistantanés,Wundermulche,Abonos Sorpresa,Fertilsorpresa,びっくりこやし,깜놀비료
Boost Mulch,Fertibérances,Wuchermulche,Abonos Fructíferos,Fertilcopioso,ぐんぐんこやし,부쩍부쩍비료
Amaze Mulch,Fertiprodiges,Ultramulche,Abonos Insólitos,Fertilprodigio,とんでもこやし,기절초풍비료
Gengarites,Ectoplasmites,Gengarnite,Gengaritas,Gengariti,ゲンガナイト,팬텀나이트
Gardevoirites,Gardevoirites,Guardevoirnite,Gardevoiritas,Gardevoiriti,サーナイトナイト,가디안나이트
Ampharosites,Pharampites,Ampharosnite,Ampharositas,Ampharositi,デンリュウナイト,전룡나이트
Venusaurites,Florizarrites,Bisaflornite,Venusauritas,Venusauriti,フシギバナイト,이상해꽃나이트
Charizardite Xs,Dracaufites X,Gluraknite X,Charizarditas X,Charizarditi X,リザードナイトＸ,리자몽나이트X
Blastoisinites,Tortankites,Turtoknite,Blastoisitas,Blastoisiti,カメックスナイト,거북왕나이트
Mewtwonite Xs,Mewtwoïtes X,Mewtunite X,Mewtwoitas X,Mewtwoiti X,ミュウツナイトＸ,뮤츠나이트X
Mewtwonite Ys,Mewtwoïtes Y,Mewtunite Y,Mewtwoitas Y,Mewtwoiti Y,ミュウツナイトＹ,뮤츠나이트Y
Blazikenites,Braségalites,Lohgocknite,Blazikenitas,Blazikeniti,バシャーモナイト,번치코나이트
Medichamites,Charminites,Meditalisnite,Medichamitas,Medichamiti,チャーレムナイト,요가램나이트
Houndoominites,Démolossites,Hundemonite,Houndoomitas,Houndoomiti,ヘルガナイト,헬가나이트
Aggronites,Galekingites,Stollossnite,Aggronitas,Aggroniti,ボスゴドラナイト,보스로라나이트
Banettites,Branettites,Banetteonite,Banettitas,Banettiti,ジュペッタナイト,다크펫나이트
Tyranitarites,Tyranocivites,Despotarnite,Tyranitaritas,Tyranitariti,バンギラスナイト,마기라스나이트
Scizorites,Cizayoxites,Scheroxnite,Scizoritas,Scizoriti,ハッサムナイト,핫삼나이트
Pinsirites,Scarabruites,Pinsirnite,Pinsiritas,Pinsiriti,カイロスナイト,쁘사이저나이트
Aerodactylites,Ptéraïtes,Aerodactylonite,Aerodactylitas,Aerodactyliti,プテラナイト,프테라나이트
Lucarionites,Lucarites,Lucarionite,Lucaritas,Lucariti,ルカリオナイト,루카리오나이트
Abomasites,Blizzarites,Rexblisarnite,Abomasnowitas,Abomasnowiti,ユキノオナイト,눈설왕나이트
Kangaskhanites,Kangourexites,Kangamanite,Kangaskhanitas,Kangaskhaniti,ガルーラナイト,캥카나이트
Gyaradosites,Léviatorites,Garadosnite,Gyaradositas,Gyaradositi,ギャラドスナイト,갸라도스나이트
Absolites,Absolites,Absolnite,Absolitas,Absoliti,アブソルナイト,앱솔나이트
Charizardite Ys,Dracaufites Y,Gluraknite Y,Charizarditas Y,Charizarditi Y,リザードナイトＹ,리자몽나이트Y
Alakazites,Alakazamites,Simsalanite,Alakazamitas,Alakazamiti,フーディナイト,후디나이트
Heracronites,Scarhinoïtes,Skarabornite,Heracrossitas,Heracrossiti,ヘラクロスナイト,헤라크로스나이트
Mawilites,Mysdibulites,Flunkifernite,Mawilitas,Mawiliti,クチートナイト,입치트나이트
Manectites,Élecsprintites,Voltensonite,Manectricitas,Manectriciti,ライボルトナイト,썬더볼트나이트
Garchompites,Carchacrokites,Knakracknite,Garchompitas,Garchompiti,ガブリアスナイト,한카리아스나이트
Latiasites,Latiasites,Latiasnite,Latiasitas,Latiasiti,ラティアスナイト,라티아스나이트
Latiosites,Latiosites,Latiosnite,Latiositas,Latiositi,ラティオスナイト,라티오스나이트
Roseli Berries,Baies Selro,Hibisbeeren,Bayas Hibis,Baccarcadè,ロゼルのみ,로셀열매
Kee Berries,Baies Éka,Akibeeren,Bayas Biglia,Baccalighia,アッキのみ,악키열매
Maranga Berries,Baies Rangma,Tarabeeren,Bayas Maranga,Baccapane,タラプのみ,타라프열매
Sprinklotads,Nénurrosoirs,Loturzelkannen,Lotadgaderas,Irrigalotad,ハスボーじょうろ,연꽃몬물뿌리개
TM96s,CT96,TM96,MT96,MT96,わざマシン９６,기술머신96
TM97s,CT97,TM97,MT97,MT97,わざマシン９７,기술머신97
TM98s,CT98,TM98,MT98,MT98,わざマシン９８,기술머신98
TM99s,CT99,TM99,MT99,MT99,わざマシン９９,기술머신99
TM100s,CT100,TM100,MT100,MT100,わざマシン１００,기술머신100
Power Plant Passes,Passes Centrale,Kraftwerks-Pässe,Pases Central,Pass Centrale,はつでんしょパス,발전소패스
Mega Rings,Méga-Anneaux,Mega-Ringe,Mega-Aros,Megacerchi,メガリング,메가링
Intriguing Stones,Pierres Insolites,Kuriose Steine,Piedras Insólitas,Sassi suggestivi,すごそうないし,대단할듯한돌
Common Stones,Pierres Ordinaires,Normale Steine,Piedras Comunes,Sassi qualsiasi,ありふれたいし,흔해빠진돌
Discount Coupons,Bons Réduction,Rabattmarken,Vales Descuento,Buoni sconto,バーゲンチケット,바겐세일티켓
Elevator Keys,Clés Ascenseur,Liftschlüssel,Llaves Ascensor,Chiavi ascensore,エレベータのキー,엘리베이터키
TMV Passes,Passes TMV,TMV-Pässe,Abonos del TMV,Pass TMV,ＴＭＶパス,TMV패스
Honors of Kalos,Insignes de Kalos,Kalos-Embleme,Emblemas Kalos,Emblemi di Kalos,カロスエンブレム,칼로스엠블럼
Adventure Rules,ABC Aventure,Abenteuerfibeln,Guías de Máximas,Guide Avventura,たんけんこころえ,탐험수칙
Strange Souvenirs,Bibelots Bizarres,Skurriloskulpturen,Estatuillas Raras,Strani ninnoli,ふしぎなおきもの,이상한장식품
Lens Cases,Boîtes Lentilles,Linsenetuis,Portalentillas,Portalenti,レンズケース,렌즈케이스
Makeup Bags,Trousses Beauté,Kosmetiketuis,Kits Maquillaje,Trousse,コスメポーチ,코스메틱파우치
Travel Trunks,Malles Penderie,Kleiderkoffer,Maletas,Bauli per abiti,いしょうトランク,의상트렁크
Lumiose Galettes,Galettes Illumis,Illumina-Galetten,Crêpes Luminalia,Pan di Lumi,ミアレガレット,미르갈레트
Shalour Sables,Sablés Yantreizh,Yantara-Sablés,Galletas Yantra,Yantafrollini,シャラサブレ,사라사블레
Jaw Fossils,Fossiles Mâchoires,Kieferfossilien,Fósiles Mandíbula,Fossilmascella,アゴのカセキ,턱화석
Sail Fossils,Fossiles Nageoires,Flossenfossilien,Fósiles Aleta,Fossilpinna,ヒレのカセキ,지느러미화석
Looker Tickets,Tickets Beladonis,LeBelle-Tickets,Boletos Handsome,Carte Bellocchio,ハンサムチケット,핸섬티켓
Bikes,Bicyclettes,Fahrräder,Bicis,Biciclette,じてんしゃ,자전거
Holo Casters,Holokits,Holo-Logs,Holomisores,Holovox,ホロキャスター,홀로캐스터
Fairy Gems,Joyaux Fée,Feenjuwelen,Gemas Hada,Bijoufolletto,ようせいジュエル,페어리주얼
Mega Charms,Méga-Charmes,Megaillons,Megacolgantes,Megaciondoli,メガチャーム,메가참
Mega Gloves,Méga-Gants,Mega-Handschuhe,Megaguantes,Megaguanti,メガグローブ,메가글러브
Mach Bikes,Vélos de Course,Eilräder,Bicis de Carreras,Bici da corsa,マッハじてんしゃ,마하자전거
Acro Bikes,Vélos Cross,Kunsträder,Bicis Acrobáticas,Bici da cross,ダートじてんしゃ,더트자전거
Wailmer Pails,Wailmerrosoirs,Wailmerkannen,Wailmegaderas,Vasi Wailmer,ホエルコじょうろ,고래왕자물뿌리개
Devon Parts,Packs Devon,Devon-Waren,Piezas Devon,Merce Devon,デボンのにもつ,데봉화물
Soot Sacks,Sacs à Suie,Aschetaschen,Sacos Hollín,Sacchi cenere,はいぶくろ,재주머니
Basement Keys,Clés Sous-Sol,Kelleröffner,Llaves del Sótano,Chiavi sotterr.,ちかのカギ,지하열쇠
Pokéblock Kits,Kits Pokébloc,Pokériegel-Sets,Kits de Pokécubos,Kit Pokémelle,ポロックキット,포켓몬스넥키트
Letters,Lettres à Pierre,Briefe an Troy,Cartas a Máximo,Lettere,ダイゴへのてがみ,성호에게줄편지
Eon Tickets,Passes Éon,Äon-Tickets,Tickets Eón,Biglietti Eone,むげんのチケット,무한티켓
Scanners,Scanners,Scanner,Escáneres,Scanner,たんちき,탐지기
Go-Goggles,Lunettes Sable,Wüstengläser,Gafas Aislantes,Occhialoni,ゴーゴーゴーグル,고고고글
Meteorites,Météorites,Meteoriten,Meteoritos,Meteoriti,いんせき,운석
Keys to Room 1,Clés Salle 1,R1-Schlüssel,Ll. Habitación 1,Chiavi stanza 1,１ごうしつのカギ,1호실열쇠
Keys to Room 2,Clés Salle 2,R2-Schlüssel,Ll. Habitación 2,Chiavi stanza 2,２ごうしつのカギ,2호실열쇠
Keys to Room 4,Clés Salle 4,R4-Schlüssel,Ll. Habitación 4,Chiavi stanza 4,４ごうしつのカギ,4호실열쇠
Keys to Room 6,Clés Salle 6,R6-Schlüssel,Ll. Habitación 6,Chiavi stanza 6,６ごうしつのカギ,6호실열쇠
Storage Keys,Clés Stockage,Lagerschlüssel,Llaves Almacén,Chiavi magazzino,そうこのカギ,창고열쇠
Devon Scopes,Devon Scopes,Devon-Scopes,Detectores Devon,Devonscopi,デボンスコープ,데봉스코프
S.S. Tickets,Passes Bateau,Bootstickets,Tickets Barco,Biglietti Nave,ふねのチケット,승선티켓
HM07s,CS07,VM07,MO07,MN07,ひでんマシン０７,비전머신07
Devon Scuba Gear,Plongeurs Devon,Devon-Atemgeräte,Bombonas Devon,Maschere Devon,デボンボンベ,데봉봄베
Contest Costumes,Costumes Live,Live-Anzüge,Trajes de Gala,Costumi Live,ライブスーツ,라이브슈트
Contest Costumes,Robes Live,Live-Kleider,Vestidos de Gala,Vestiti Live,ライブドレス,라이브드레스
Magma Suits,Scaph. Magma,Magma-Anzüge,Trajes Magma,Tute Magma,マグマスーツ,마그마슈트
Aqua Suits,Scaphandres Aqua,Aqua-Anzüge,Trajes Aqua,Tute Idro,アクアスーツ,아쿠아슈트
Pair of Tickets,Tickets Duo,Zweiertickets,Entradas para dos,Biglietti doppi,ペアチケット,페어티켓
Mega Bracelets,Méga-Bracelets,Mega-Armreife,Megapulseras,Megabracciali,メガバングル,메가뱅글
Mega Pendants,Méga-Pendentifs,Mega-Anhänger,Megacollares,Megapendenti,メガペンダント,메가펜던트
Mega Glasses,Méga-Lunettes,Mega-Brillen,Megagafas,Megaocchiali,メガメガネ,메가글라스
Mega Anchors,Méga-Ancres,Mega-Anker,Megaanclas,Megaancore,メガイカリ,메가앵커
Mega Stickpins,Méga-Pin’s,Mega-Anstecker,Megabroches,Megaspille,メガラペルピン,메가라펠핀
Mega Tiaras,Méga-Tiares,Mega-Diademe,Megatiaras,Megadiademi,メガティアラ,메가티아러
Mega Anklets,Méga-Grèves,Mega-Beinreife,Megatobilleras,Megagambali,メガアンクレット,메가앵클릿
Meteorites,Météorites,Meteoriten,Meteoritos,Meteoriti,いんせき,운석
Swampertites,Laggronites,Sumpexnite,Swampertitas,Swampertiti,ラグラージナイト,대짱이나이트
Sceptilites,Jungkites,Gewaldronite,Sceptilitas,Sceptiliti,ジュカインナイト,나무킹나이트
Sablenites,Ténéfixites,Zobirisnite,Sableynitas,Sableyiti,ヤミラミナイト,깜까미나이트
Altarianites,Altarites,Altarianite,Altarianitas,Altariti,チルタリスナイト,파비코리나이트
Galladites,Gallamites,Galagladinite,Galladitas,Galladiti,エルレイドナイト,엘레이드나이트
Audinites,Nanméouïtes,Ohrdochnite,Audinitas,Audiniti,タブンネナイト,다부니나이트
Metagrossites,Métalossites,Metagrossnite,Metagrossitas,Metagrossiti,メタグロスナイト,메타그로스나이트
Sharpedonites,Sharpedites,Tohaidonite,Sharpedonitas,Sharpediti,サメハダナイト,샤크니아나이트
Slowbronites,Flagadossites,Lahmusnite,Slowbronitas,Slowbroiti,ヤドランナイト,야도란나이트
Steelixites,Steelixites,Stahlosnite,Steelixitas,Steelixiti,ハガネールナイト,강철톤나이트
Pidgeotites,Roucarnagites,Taubossnite,Pidgeotitas,Pidgeotiti,ピジョットナイト,피죤투나이트
Glalitites,Oniglalites,Firnontornite,Glalitas,Glaliti,オニゴーリナイト,얼음귀신나이트
Diancites,Diancites,Diancienite,Diancitas,Dianciti,ディアンシナイト,디안시나이트
Prison Bottles,Vases Scellés,Banngefäße,Vasijas Castigo,Vasi del vincolo,いましめのツボ,굴레의항아리
Mega Cuffs,Méga-Manchettes,Mega-Armbänder,Megabrazaletes,Megapolsiere,メガブレス,메가블레스
Cameruptites,Caméruptites,Cameruptnite,Cameruptitas,Cameruptiti,バクーダナイト,폭타나이트
Lopunnites,Lockpinites,Schlapornite,Lopunnitas,Lopunniti,ミミロップナイト,이어롭나이트
Salamencites,Drattakites,Brutalandanite,Salamencitas,Salamenciti,ボーマンダナイト,보만다나이트
Beedrillites,Dardargnites,Bibornite,Beedrillitas,Beedrilliti,スピアナイト,독침붕나이트
Meteorites,Météorites,Meteoriten,Meteoritos,Meteoriti,いんせき,운석
Meteorites,Météorites,Meteoriten,Meteoritos,Meteoriti,いんせき,운석
Key Stones,Gemmes Sésame,Schlüssel-Steine,Piedras Activadoras,Pietrechiave,キーストーン,키스톤
Meteorite Shards,Éclats Météorite,Meteoritenstücke,Frag. Meteorito,Framm. meteorite,いんせきのかけら,운석조각
Eon Flutes,Flûtes Éon,Äon-Flöten,Flautas Eón,Flauti Eone,むげんのふえ,무한의피리
Normalium Zs,Normazélites,Normium Z,Normastales Z,Normium Z,ノーマルＺ,노말Z
Firium Zs,Pyrozélites,Pyrium Z,Pirostales Z,Pirium Z,ホノオＺ,불꽃Z
Waterium Zs,Aquazélites,Aquium Z,Hidrostales Z,Idrium Z,ミズＺ,물Z
Electrium Zs,Voltazélites,Voltium Z,Electrostales Z,Electrium Z,デンキＺ,전기Z
Grassium Zs,Florazélites,Botanium Z,Fitostales Z,Herbium Z,クサＺ,풀Z
Icium Zs,Cryozélites,Glacium Z,Criostales Z,Glacium Z,コオリＺ,얼음Z
Fightinium Zs,Combazélites,Battalium Z,Lizastales Z,Luctium Z,カクトウＺ,격투Z
Poisonium Zs,Toxizélites,Toxium Z,Toxistales Z,Venenium Z,ドクＺ,독Z
Groundium Zs,Terrazélites,Terrium Z,Geostales Z,Terrium Z,ジメンＺ,땅Z
Flyinium Zs,Aérozélites,Aerium Z,Aerostales Z,Volantium Z,ヒコウＺ,비행Z
Psychium Zs,Psychézélites,Psium Z,Psicostales Z,Psichium Z,エスパーＺ,에스퍼Z
Buginium Zs,Insectozélites,Insectium Z,Insectostales Z,Insectium Z,ムシＺ,벌레Z
Rockium Zs,Rocazélites,Petrium Z,Litostales Z,Petrium Z,イワＺ,바위Z
Ghostium Zs,Spectrozélites,Phantomium Z,Espectrostales Z,Spectrium Z,ゴーストＺ,고스트Z
Dragonium Zs,Dracozélites,Dracium Z,Dracostales Z,Draconium Z,ドラゴンＺ,드래곤Z
Darkinium Zs,Ténébrozélites,Noctium Z,Nictostales Z,Obscurium Z,アクＺ,악Z
Steelium Zs,Métallozélites,Metallium Z,Metalostales Z,Metallium Z,ハガネＺ,강철Z
Fairium Zs,Nymphézélites,Sylphium Z,Feeristales Z,Follectium Z,フェアリーＺ,페어리Z
Pikanium Zs,Pikazélites,Pikachium Z,Pikastales Z,Pikacium Z,ピカチュウＺ,피카츄Z
Bottle Caps,Capsules d’Argent,Silberkronkorken,Chapas Plateadas,Tappi d’argento,ぎんのおうかん,은왕관
Gold Bottle Caps,Capsules d’Or,Goldkronkorken,Chapas Doradas,Tappi d’oro,きんのおうかん,금왕관
Z-Rings,Bracelets Z,Z-Ringe,Pulseras Z,Cerchi Z,Ｚリング,Z링
Decidium Zs,Archézélites,Silvarronium Z,Dueyestales Z,Deciduenium Z,ジュナイパーＺ,모크나이퍼Z
Incinium Zs,Félinozélites,Fuegronium Z,Incinostales Z,Incineronium Z,ガオガエンＺ,어흥염Z
Primarium Zs,Oratozélites,Primarenium Z,Primastales Z,Primarinium Z,アシレーヌＺ,누리레느Z
Tapunium Zs,Tokozélites,Kapium Z,Tapistales Z,Tapium Z,カプＺ,카푸Z
Marshadium Zs,Marshadozélites,Marshadownium Z,Marshastales Z,Marshadium Z,マーシャドーＺ,마샤도Z
Aloraichium Zs,Aloraïzélites,A-Raichunium Z,Alo-Raistales Z,Aloraicium Z,アロライＺ,알로라이Z
Snorlium Zs,Ronflézélites,Relaxonium Z,Snorlastales Z,Snorlactium Z,カビゴンＺ,잠만보Z
Eevium Zs,Évolizélites,Evolium Z,Eeveestales Z,Eevium Z,イーブイＺ,이브이Z
Mewnium Zs,Mewzélites,Mewnium Z,Mewstales Z,Mewnium Z,ミュウＺ,뮤Z
Normalium Zs,Normazélites,Normium Z,Normastales Z,Normium Z,ノーマルＺ,노말Z
Firium Zs,Pyrozélites,Pyrium Z,Pirostales Z,Pirium Z,ホノオＺ,불꽃Z
Waterium Zs,Aquazélites,Aquium Z,Hidrostales Z,Idrium Z,ミズＺ,물Z
Electrium Zs,Voltazélites,Voltium Z,Electrostales Z,Electrium Z,デンキＺ,전기Z
Grassium Zs,Florazélites,Botanium Z,Fitostales Z,Herbium Z,クサＺ,풀Z
Icium Zs,Cryozélites,Glacium Z,Criostales Z,Glacium Z,コオリＺ,얼음Z
Fightinium Zs,Combazélites,Battalium Z,Lizastales Z,Luctium Z,カクトウＺ,격투Z
Poisonium Zs,Toxizélites,Toxium Z,Toxistales Z,Venenium Z,ドクＺ,독Z
Groundium Zs,Terrazélites,Terrium Z,Geostales Z,Terrium Z,ジメンＺ,땅Z
Flyinium Zs,Aérozélites,Aerium Z,Aerostales Z,Volantium Z,ヒコウＺ,비행Z
Psychium Zs,Psychézélites,Psium Z,Psicostales Z,Psichium Z,エスパーＺ,에스퍼Z
Buginium Zs,Insectozélites,Insectium Z,Insectostales Z,Insectium Z,ムシＺ,벌레Z
Rockium Zs,Rocazélites,Petrium Z,Litostales Z,Petrium Z,イワＺ,바위Z
Ghostium Zs,Spectrozélites,Phantomium Z,Espectrostales Z,Spectrium Z,ゴーストＺ,고스트Z
Dragonium Zs,Dracozélites,Dracium Z,Dracostales Z,Draconium Z,ドラゴンＺ,드래곤Z
